ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
10019-20010816,1150795,26265,1,KAY WATER TOWER INC,KAY WATER TOWER INC,835 N MICHIGAN AVE,CHICAGO,IL,60611,2.0,37.0,2-37,18.0,1010,Limited Business License,,,10019.0,RENEW,,06/22/2001,07/28/2001,N,08/16/2001,08/15/2002,07/28/2001,06/02/2003,AAI,,,41.897740856,-87.623961316,"(41.897740856252504, -87.62396131598219)"
2048768-20100726,2048768,355300,1,D & Z FUNERAL ESCORT SERVICES CORP.,D & Z FUNERAL ESCORT SERVICES CORP.,6941 S HONORE ST,CHICAGO,IL,60636,17.0,62.0,17-62,7.0,1012,Home Occupation,,,2048768.0,ISSUE,07/26/2010,07/26/2010,07/26/2010,N,07/26/2010,08/15/2012,07/26/2010,07/26/2010,AAI,,,41.767266848,-87.669806385,"(41.7672668477046, -87.66980638451606)"
25462-20090516,2004139,85916,1,SYSCO CHICAGO INC.,SYSCO FOOD SERVICES-CHGO INC,250  WIEBOLDT DR,DES PLAINES,IL,60016,,,,,1007,Wholesale Food Establishment,864,Wholesale Food Sales,25462.0,RENEW,,11/06/2009,08/11/2011,N,05/16/2009,05/15/2011,08/11/2011,08/12/2011,AAI,,,,,
1470964-20040816,1512779,271467,1,"SAIGON CENTRAL POST, INC.",SAIGON CENTRAL POST,4945B N BROADWAY,CHICAGO,IL,60640,48.0,40.0,48-40,20.0,1010,Limited Business License,,,1470964.0,RENEW,,06/30/2004,08/06/2004,N,08/16/2004,08/15/2005,08/06/2004,08/09/2004,AAI,,34.0,41.972835023,-87.659625043,"(41.97283502279038, -87.65962504271593)"
1193883-20020103,1193883,220129,1,NORTH SHORE AUXILIARY OF JEWISH CHILD AND FAMILY SERVICES,NORTH SHORE AUXILIARY OF THE JEWISH CHILDREN'S BUREAU,1 S FRANKLIN ST  216-800,CHICAGO,IL,60606,42.0,49.0,42-49,1.0,1625,Raffles,720,Not-For-Profit Selling Raffles for Prizes of $50 or More,1193883.0,ISSUE,10/23/2001,11/21/2001,11/21/2001,N,01/03/2002,11/15/2002,01/02/2002,01/03/2002,AAI,,,41.881902751,-87.63516406,"(41.88190275050587, -87.6351640597954)"
1304993-20100416,2018359,22211,3,SUBURBAN ELEVATOR CO.,SUBURBAN ELEVATOR CO.,5  EXECUTIVE DR  1,SOUTH BARRINGTON,IL,60010,,,,,1010,Limited Business License,,,1304993.0,RENEW,,02/11/2010,04/05/2010,N,04/16/2010,04/15/2012,04/05/2010,04/06/2010,AAI,,,,,
2209847-20121229,2209847,365451,1,Green Evans Management Incorporated,"Green Evans Management, Inc.",928  GREENWOOD  AVE,FORD HEIGHTS,IL,60411,,,,,4404,Regulated Business License,673,Home Repair Services,2209847.0,ISSUE,,,,N,12/29/2012,09/15/2013,,12/29/2012,AAI,,,,,
11590-20030216,1307179,5453,1,SCANDINAVIAN BUILDERS LIMITED,SCANDINAVIAN BUILDERS LTD,2932  MALMO DR  1ST,ARLINGTON HEIGHTS,IL,60005,,,,,1010,Limited Business License,,,11590.0,RENEW,,12/17/2002,01/28/2003,N,02/16/2003,02/15/2004,01/28/2003,01/29/2003,AAI,,,,,
1514975-20080516,1896952,255225,2,LASALLE SYSTEMS LEASING,LASALLE SYSTEMS LEASING,6111 N RIVER RD,ROSEMONT,IL,60018,,,,,1010,Limited Business License,,,1514975.0,RENEW,,03/24/2008,05/07/2008,N,05/16/2008,05/15/2010,05/07/2008,05/08/2008,AAI,,,,,
56319-20031116,1431755,39853,1,"Baden Baden Food Equipment, Inc.","BADEN BADEN FOOD EQUIPMENT, INC.",3947 W COLUMBUS AVE  1,CHICAGO,IL,60652,18.0,36.0,18-36,8.0,1010,Limited Business License,,,56319.0,RENEW,,09/26/2003,11/05/2003,N,11/16/2003,11/15/2004,11/05/2003,11/06/2003,AAI,,,41.736427352,-87.720216694,"(41.73642735177359, -87.72021669428557)"
1821675-20070523,1821675,317789,1,"DI MEO BROTHERS, INC.","DI MIEO BROTHERS, INC.",720  RICHARD LN,ELK GROVE,IL,60007,,,,,1010,Limited Business License,,,1821675.0,ISSUE,05/23/2007,05/23/2007,05/23/2007,N,05/23/2007,06/15/2009,05/23/2007,05/23/2007,AAI,,,,,
2016723-20100119,2016723,350211,1,"FULLERTON DISCOUNT, INC.",DOLLAR BAZAAR,5722-5728 W FULLERTON AVE 1,CHICAGO,IL,60639,30.0,6.0,30-6,25.0,1010,Limited Business License,,,2016723.0,ISSUE,,01/18/2010,01/18/2010,N,01/19/2010,01/15/2011,01/18/2010,01/19/2010,AAI,,,41.924036653,-87.769488579,"(41.924036653204055, -87.76948857866934)"
2206180-20121229,2206180,258787,3,EFFECTIVE AIR INC,Effective air inc,2033  JOHNS  CT,GLENVIEW,IL,60025,,,,,4404,Regulated Business License,673,Home Repair Services,2206180.0,ISSUE,,,,N,12/29/2012,03/15/2013,,12/29/2012,AAI,,,,,
1494769-20070816,1836632,277886,1,JOSE JIMENEZ,CATY,10046 S EWING AVE,CHICAGO,IL,60617,10.0,26.0,10-26,4.0,1010,Limited Business License,,,1494769.0,RENEW,,06/21/2007,07/23/2007,N,08/16/2007,07/15/2008,07/23/2007,07/24/2007,AAI,,,41.712538511,-87.535423092,"(41.71253851134943, -87.53542309235638)"
2089019-20110406,2089019,361166,1,TRUE REMODELING INC.,TRUE REMODELING,9753  SOUTHWEST HWY,OAK LAWN,IL,60453,,,,,1010,Limited Business License,,,2089019.0,ISSUE,04/06/2011,04/06/2011,04/06/2011,N,04/06/2011,04/15/2013,04/06/2011,04/06/2011,AAI,,,,,
22660-20020216,1204513,29583,1,"BROESCH MECHANICAL SERVICES, INC.","BROESCH MECHANICAL SERVICES, INC",310  ST PAUL BLVD  1,CAROL STREAM,IL,60188,,,,,1010,Limited Business License,,,22660.0,RENEW,,12/20/2001,01/18/2002,N,02/16/2002,02/15/2003,01/18/2002,01/22/2002,AAI,,,,,
70105-,293082,89285,1,BOZENA PYRZYNSKI,BOZENA PYRZYNSKI,24720  WILMOT RD 1ST,TREVOR,WI,53179,,,,,1525,Massage Therapist,,,70105.0,ISSUE,,06/20/2000,,N,,02/15/1999,,02/05/2003,AAI,,,,,
1245308-20020501,1245308,246634,1,Professional Fence & Home Services,Professional Fence & Home Services,2300 N BARRINGTON RD  400,HOFFMAN ESTATES,IL,60195,,,,,1011,Home Repair,,,1245308.0,ISSUE,04/29/2002,04/29/2002,04/29/2002,N,05/01/2002,02/15/2003,04/30/2002,05/01/2002,AAI,,,,,
8159-20140816,2335055,4005,2,LEE RAYBON,LEE RAYBON,4402-4416 W ROOSEVELT RD,CHICAGO,IL,60624,24.0,48.0,24-48,11.0,1275,Filling Station,666,Operation of a Fuel Filling Station,8159.0,RENEW,,06/15/2014,08/12/2014,N,08/16/2014,08/15/2016,08/12/2014,08/26/2014,AAI,,,41.866139766,-87.735165257,"(41.86613976581809, -87.73516525679419)"
1818146-20071116,1865396,297271,2,KAREN M. RAYO,MICHAEL'S HAIR STUDIO,3462 W DIVERSEY AVE 1ST,CHICAGO,IL,60647,35.0,11.0,35-11,14.0,1010,Limited Business License,,,1818146.0,RENEW,,09/21/2007,11/14/2007,N,11/16/2007,11/15/2009,11/14/2007,11/14/2007,AAC,05/05/2008,,41.932052028,-87.714562572,"(41.93205202816227, -87.71456257245865)"
2342352-20140715,2342352,381928,4,"Dyck-O'Neal, Inc.","Dyck-O'Neal, Inc.",6060 N CENTRAL EXPY  200,DALLAS,TX,75206,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2342352.0,ISSUE,,07/14/2014,07/14/2014,N,07/15/2014,06/15/2015,07/14/2014,07/15/2014,AAI,,,41.992453703,-87.765742357,"(41.99245370261539, -87.76574235745231)"
1801255-20070207,1801255,243894,4,HECTOR M VALDEZ,D'VALSAN STUDIO HAIR DESIGN,3919 W 63RD ST 1,CHICAGO,IL,60629,13.0,31.0,13-31,8.0,1010,Limited Business License,,,1801255.0,ISSUE,02/07/2007,02/07/2007,02/07/2007,N,02/07/2007,01/15/2008,02/07/2007,02/07/2007,AAI,,3.0,41.778572676,-87.721111719,"(41.77857267592709, -87.72111171936355)"
1868799-20071002,1868799,322954,1,PATRICK H. MCDERMOTT,BEADZ AND MORE,2809  POMME MEADOWS  1ST,ARNOLD,MO,63010,,,,,1604,"Peddler, non-food",,,1868799.0,ISSUE,10/02/2007,10/02/2007,10/02/2007,N,10/02/2007,10/15/2009,,10/02/2007,AAI,,,,,
1334408-20080116,1877155,243357,2,VICTOR FLORES,VICTORS LANDSCAPING,4801 N OZANAM,NORRIDGE,IL,60706,,,,,1010,Limited Business License,,,1334408.0,RENEW,,11/26/2007,02/04/2008,N,01/16/2008,01/15/2010,02/11/2008,02/13/2008,AAI,,,,,
1303352-20170416,2513702,255775,1,ELKHORN BUS SERVICE INC,ELKHORN BUS SERVICE INC.,511 S LINCOLN,ELKHORN,WI,53121,,,,,1010,Limited Business License,,,1303352.0,RENEW,,02/15/2017,02/22/2017,N,04/16/2017,04/15/2019,02/22/2017,02/23/2017,AAI,,,,,
2278534-20130812,2278534,383790,1,"AMERICAN RECEIVABLES AGENCY, LLC","AMERICAN RECEIVABLES AGENCY, LLC",13415  QUEEN ST,DISPUTANTA,VA,23842,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2278534.0,ISSUE,07/30/2013,08/08/2013,08/12/2013,N,08/12/2013,08/15/2015,08/12/2013,08/12/2013,AAI,,,,,
1423645-20040216,1469303,268025,1,PREMIER LANDSCAPE CONTRACTORS,PREMIER LANDSCAPE CONTRACTORS,11S375  JEANS RD,BURR RIDGE,IL,60527,,,,,1010,Limited Business License,,,1423645.0,RENEW,,12/15/2003,03/02/2004,N,02/16/2004,02/15/2005,12/22/2003,03/03/2004,AAI,,,,,
